car sale mean,car sale median,car sale max,car sale min
54149.66232412715,59364.0,189390,0
3399.0833333333335,750.0,13750,0
227158.33333333334,236000.0,277475,168000
36133.92652409265,29999.0,474160,0
6778.0,6778.0,6778,6778
21246.753205128207,18306.5,499956,0
18488.89550990053,17308.0,170000,0
43516.49493538246,46021.0,121918,0
0.0,0.0,0,0
8813.458279845956,8995.0,940325,0
12282.077922077922,0.0,110000,0
20989.376709974564,12000.0,349990,0
70450.20967741935,70220.0,81710,59290
27967.11726685134,33118.0,55075,0
44675.251868460386,48957.5,72492,0
64683.92857142857,68662.5,96077,0
61520.111602585916,60660.0,779995,0
35418.63201970443,38980.0,78030,0
85370.53333333334,92849.0,138645,0
57964.3,63602.5,72065,0
72015.60655737705,74980.5,97000,0
137074.46575342465,140500.0,186650,100350
52166.916666666664,57185.0,59012,0
64554.84744094488,51959.5,199190,0
34072.493003229276,35000.0,275353,0
26852.062008733625,34300.0,57879,0
9551.046203222859,0.0,12312016,0
59911.98760330579,62100.0,75000,0
97620.21863799283,99920.0,1500000,0
80217.63492898474,78375.0,149950,0
7542.668325041459,6000.0,169000,0
45753.11418685121,50115.0,64360,0
52863.00773623135,55190.0,11032022,0
4828.4,4000.0,9000,0
22894.675453277545,27750.0,288895,0
37646.89373297003,44870.0,490355,0
57120.15341959335,60540.0,541250,0
200.0,0.0,2250,0
